cbsa_code,cbsa_title,cbsa_short,tot_units,tot_pop,units_pcap,h_1990,h_2000,h_2010,h_2020,h_change
20940,"El Centro, CA",El Centro,25492,5631792,0.00452644557895604,0.5373508212776278,0.5105389830086282,0.535746074925378,0.582741530913657,0.0453907096360292
21060,"Elizabethtown-Fort Knox, KY",Elizabethtown,27319,5405450,0.00505397330472023,0.2867045199827255,0.3223425397004492,0.2888674645233538,0.28045491727138006,-0.00624960271134544
21340,"El Paso, TX",El Paso,141099,27468209,0.00513681106766007,0.2628673926629062,0.28357508034168605,0.2540470277764483,0.2501707817944399,-0.01269661086846629
21500,"Erie, PA",Erie,25572,11158431,0.00229172004558705,0.48808446922458915,0.46451238676476486,0.44099648735246183,0.4248849181877382,-0.06319955103685093
21660,"Eugene, OR",Eugene,49977,12757126,0.00391757516544086,0.2479282702124204,0.23664580288974327,0.2383451066334442,0.2658901863621996,0.01796191614977918
21780,"Evansville, IN-KY",Evansville,49068,11845746,0.00414224650773366,0.49836591752464704,0.4458631139166162,0.39847039454741406,0.35515366098615564,-0.1432122565384914
22180,"Fayetteville, NC",Fayetteville,86109,13295792,0.00647640997993951,0.33142397852893085,0.27754200758710196,0.2623856109281886,0.2295137309419455,-0.10191024758698536
22220,"Fayetteville-Springdale-Rogers, AR-MO",Fayetteville,122614,14222003,0.00862142976625725,0.4191369209523392,0.3611830765665239,0.3042330477591836,0.2886986147394186,-0.13043830621292055
22420,"Flint, MI",Flint,46089,17185516,0.00268185139160209,0.7332721924806965,0.7086730261046896,0.6241147745195902,0.5577425975094915,-0.17552959497120502
22660,"Fort Collins, CO",Fort Collins,89467,9884198,0.00905151839329807,0.2498524865777537,0.25316206639413524,0.2632908140046599,0.24133465564769063,-0.00851783093006305
22900,"Fort Smith, AR-OK",Fort Smith,31398,9961318,0.00315199253753368,0.5618189146068794,0.4893903149026102,0.4499829542557556,0.4008992977033794,-0.16091961690349998
23060,"Fort Wayne, IN",Fort Wayne,74546,15460935,0.00482157126978413,0.5843664088720533,0.564533190715082,0.49245694416231056,0.42838309155839266,-0.1559833173136606
23420,"Fresno, CA",Fresno,153932,31454056,0.00489386805949604,0.5140205692988599,0.45869740332829295,0.42308578890239473,0.38762940501796667,-0.1263911642808932
23540,"Gainesville, FL",Gainesville,69409,9117358,0.00761284135162839,0.4707792442491397,0.4487473211987485,0.4054409376882877,0.3695298981321674,-0.10124934611697228
24340,"Grand Rapids-Wyoming, MI",Grand Rapids,178199,35892371,0.00496481550355088,0.6027150056421757,0.5364505737911971,0.4758318841223461,0.4340254573708142,-0.1686895482713615
24580,"Green Bay, WI",Green Bay,70138,11053195,0.00634549557842777,0.4726530925216376,0.39731058276455267,0.3774635527533851,0.3891479531685203,-0.08350513935311732
24660,"Greensboro-High Point, NC",Greensboro,157553,25285529,0.00623095526298856,0.5730882720837148,0.5135424355883984,0.4902465007792627,0.45460581117637816,-0.11848246090733666
24860,"Greenville-Anderson-Mauldin, SC",Greenville,186507,28828102,0.00646962467386857,0.5983602383409957,0.4949200540230266,0.42878838071534786,0.3628353810138813,-0.2355248573271144
25060,"Gulfport-Biloxi-Pascagoula, MS",Gulfport,97532,14063179,0.00693527402303561,0.5517784594144938,0.4921890148396611,0.4456382600247043,0.3973260928489597,-0.15445236656553407
25180,"Hagerstown-Martinsburg, MD-WV",Hagerstown,51428,8521759,0.00603490429616702,0.5016947224815733,0.44645241952058096,0.34670450883200393,0.30327053282829725,-0.19842418965327607
25260,"Hanford-Corcoran, CA",Hanford,22510,4911054,0.00458353746466644,0.3723598124788839,0.31391852447069474,0.3004862568643241,0.2810767858365651,-0.0912830266423188
25420,"Harrisburg-Carlisle, PA",Harrisburg,85791,20423041,0.00420069665433272,0.6129730347576244,0.5884475357228444,0.5368260739270714,0.47841597450984785,-0.13455706024777658
25540,"Hartford-West Hartford-East Hartford, CT",Hartford,141174,46073934,0.00306407523177855,0.5894169095467211,0.5447294280644887,0.5194915430679597,0.4949048581650313,-0.09451205138168978
25860,"Hickory-Lenoir-Morganton, NC",Hickory,57123,13147070,0.00434492248082652,0.5484867783284652,0.4800324711879579,0.4262172699925385,0.35927048059460376,-0.1892162977338614
25980,"Hinesville, GA",Hinesville,17435,2724630,0.00639903399727669,0.21619135493809985,0.21864090407290443,0.2438591491164734,0.22008955553129456,0.0038982005931947
26380,"Houma-Thibodaux, LA",Houma,27877,7850703,0.00355089219398568,0.5769006712776019,0.5211281701961378,0.4714549460987902,0.4361265118526007,-0.1407741594250012
26420,"Houston-The Woodlands-Sugar Land, TX",Houston,1551577,195157180,0.00795039670075167,0.6104719033031341,0.5854069173760479,0.5305663065859083,0.46066744662111175,-0.1498044566820223
26580,"Huntington-Ashland, WV-KY-OH",Huntington,19460,14477179,0.00134418452655728,0.5518335240348082,0.4972291044995402,0.43608620136312465,0.40316916872778474,-0.1486643553070235
26620,"Huntsville, AL",Huntsville,100802,14020221,0.007189758278418,0.5263385371190978,0.4889046773832846,0.44145478884124606,0.3730496056309458,-0.15328893148815204
26900,"Indianapolis-Carmel-Anderson, IN",Indianapolis,414984,66558161,0.0062349078424808,0.6738602500915797,0.6061133080289339,0.5452290758905862,0.49600270832114746,-0.17785754177043225
26980,"Iowa City, IA",Iowa City,38573,5374743,0.00717671524015194,0.21251595951394267,0.26698956689516123,0.3109254627944368,0.34955205820948343,0.13703609869554076
27060,"Ithaca, NY",Ithaca,13762,3875247,0.00355125750694084,0.3050153154708524,0.29427382796983476,0.2625802080816738,0.24112152990742927,-0.06389378556342315
27140,"Jackson, MS",Jackson,97262,20781105,0.00468030934832387,0.6884282176640266,0.6033866816705332,0.5727409333367482,0.4997176432080315,-0.1887105744559951
27260,"Jacksonville, FL",Jacksonville,424006,45209057,0.00937878443250873,0.5936416726036678,0.5141022824432707,0.4660002278187878,0.4267834826758352,-0.16685818992783263
27340,"Jacksonville, NC",Jacksonville,46436,6308994,0.00736028596635216,0.20211204620948248,0.2075204209560995,0.19716041445490257,0.18461119202682377,-0.0175008541826587
